order_id,customer_id,sku,status,amount,currency,order_ts
 O001948,  C0043 , Sku002 ,  PENDING , 107.89 , Nzd  ,2026-09-02 06:13:41
 O001539 , C0082 , SKU017  ,  Pending, 648.35 ,AUD,02/09/2026 06:56:46
O001606  ,  C0081  ,  SKU003 ,shipped  ,$653.53, aud,02/09/2026 19:50:37
 O001815 , c0223  , sku004,  delivered ,1218.84,aud  ,02/09/2026 13:56:10
 O001034,  C0029  ,  sku007 ,PENDING  ,$100.35,USD,02/09/2026 09:24:02
  O001952,c0253  ,  SKU014,  Shipped  ,"$1,188.69", AUD,02/09/2026 12:23:32
 O001799 ,  C0134,SKU006, Shipped  ,$834.32, Aud ,2026-09-02 20:14:54
 O001774,C0219,sku006 , shipped  ,468.0,  AUD ,2026-09-02 17:40:00
  O001436 ,  c0233 , SKU006  ,  Delivered, 1372.92 ,AUD,02/09/2026 04:31:19
o001257  ,  C0154 , Sku009 , SHIPPED  , 1189.78 ,  nzd ,02/09/2026 08:30:45
 O001848  ,c0143, Sku010 ,  Delivered  ,841.05,  Aud,2026-09-02 19:14:08
 O001583,  C0116  , sku001 ,  delivered ,1494.27,  NZD  ,02/09/2026 09:52:28
  O001376  ,  c0240 ,Sku002 ,  Delivered ,13.23,Nzd,2026-09-02 17:05:09
 O001813,  C0172, sku011, delivered  ,992.13,AUD ,2026-09-02 02:55:20
 O001332  ,  C0191 ,  sku015 ,pending ,579.9,USD ,2026-09-02 00:04:39
 O001613 ,  C0289  ,  sku014, pending , 893.97 ,  Aud,02/09/2026 09:49:07
 o001421 ,C0295  , SKU012 , PENDING  , 175.36 ,  USD,2026-09-02 08:31:27
O001507  ,  C0191 ,  sku003  ,  Delivered ,$225.44,  Usd  ,02/09/2026 14:22:43
  O001575 ,  C0089,SKU015 , delivered , 402.88 ,Aud ,02/09/2026 09:08:42
 o001422  ,  c0138  ,  Sku003 ,Shipped , 1233.26 ,AUD ,02/09/2026 14:46:10
 O001189 ,  C0235, SKU010  , DELIVERED  , 986.98 ,  USD ,02/09/2026 13:13:21
o001223,  C0167 ,SKU018 ,PENDING , 214.64 ,  Usd  ,02/09/2026 13:36:39
 O001408 , C0020 ,SKU016  ,  shipped , 440.05 ,USD  ,02/09/2026 23:10:18
 O001081  ,  C0233  , Sku008 ,delivered,$959.66,  aud ,2026-09-02 17:12:00
 O001225 ,c0137  , Sku004 , shipped ,$348.64,nzd  ,2026-09-02 03:12:58
O001576  ,C0221,  sku011  ,  SHIPPED  , 229.30 ,Aud  ,2026-09-02 05:08:19
 O001661 , C0065 ,sku015,  shipped  ,799.79, aud,2026-09-02 03:17:38
O001829 ,C0107 ,  SKU019,shipped  ,$549.47,  Aud ,2026-09-02 18:20:41
  O001441,C0174 ,  SKU008,shipped  , 328.08 ,  USD,2026-09-02 21:00:41
 o001434  ,  c0024 ,  Sku004, PENDING  , 923.25 ,usd ,2026-09-02 21:13:55
 O001740  ,  C0160 ,SKU006  ,  delivered  ,260.27,  Nzd ,02/09/2026 09:41:39
  O001684 ,  C0197  ,SKU015 ,pending  ,954.7,  USD  ,2026-09-02 04:42:38
o001819 , C0297, Sku015 ,shipped,904.01,  aud ,02/09/2026 17:39:34
O001570,C0180  ,  SKU002 , Delivered ,"$1,220.27", usd  ,2026-09-02 14:18:14
o001734 ,c0045 ,  sku005  ,  shipped ,471.47,  usd  ,2026-09-02 02:31:51
  o001485  , c0274 ,  Sku014 ,  Shipped  ,"$1,078.45",  AUD,02/09/2026 12:53:14
 O001611 ,C0197,  Sku010,Shipped  ,"$1,144.90",  NZD,2026-09-02 08:49:10
O001851 ,  C0130  ,  SKU013,  pending , 361.13 , Aud,2026-09-02 19:53:03
 o001328  , C0227 ,  Sku020, delivered  ,492.91,  USD  ,02/09/2026 03:22:59
  o001058  ,  C0164 , SKU019  ,Delivered ,723.67,  Aud,02/09/2026 13:10:01
O001174  , C0276  ,Sku020,  PENDING  , 469.49 , USD  ,2026-09-02 07:52:42
  o001696 ,  C0008  , Sku017, pending , 632.43 , Nzd,02/09/2026 16:17:34
 O001323, C0183, sku001  ,delivered,"$1,482.80",  Nzd,2026-09-02 21:08:11
  O001898  ,  c0276 ,  sku008,  SHIPPED, 876.88 , NZD ,2026-09-02 14:12:56
 O001312 ,C0206,  Sku013  , pending ,$330.76,AUD  ,2026-09-02 21:51:35
O001394, C0083,SKU010,  delivered ,$36.43,nzd  ,2026-09-02 19:12:06
  O001525  ,c0119,  SKU010  , Delivered, 745.73 ,USD,02/09/2026 08:53:03
 O001808 ,  C0004  , SKU013 ,delivered ,26.69,Usd ,2026-09-02 21:37:15
 O001387  ,C0234  , SKU008 ,  delivered,172.86,  NZD  ,2026-09-02 20:13:33
