order_id,customer_id,sku,status,amount,currency,order_ts
  O000814,C0116 , SKU005  ,delivered , 1051.97 , Nzd ,2026-09-01 17:57:32
  O000945 ,C0209, sku018 ,  pending ,1221.78,  nzd  ,2026-09-01 12:16:28
 o000033  ,C0079  , Sku018  ,shipped , 191.36 ,  Aud ,01/09/2026 08:28:17
  O000490 ,C0198  ,sku015  ,  Delivered , 350.57 ,aud ,01/09/2026 02:59:07
 O000130  ,  c0217,  sku007 , DELIVERED,162.9, aud  ,01/09/2026 07:47:43
 O000287, c0254  ,  Sku002,pending,22.65, aud ,01/09/2026 07:52:09
o000365,  C0133 ,SKU004,delivered  ,1211.27, Usd,01/09/2026 16:23:37
O000758 ,c0198 ,  SKU013, PENDING ,878.42, AUD,2026-09-01 20:41:01
  O000931 , C0171, sku019 , SHIPPED  ,403.46,aud ,2026-09-01 14:12:09
O000551  ,C0102  , Sku016 ,  Shipped ,$204.66,AUD,01/09/2026 23:26:54
O000585  , C0187,SKU011, SHIPPED , 1262.84 ,  USD  ,2026-09-01 10:29:13
 o000976  ,C0256  , sku003 ,pending, 312.65 , USD  ,01/09/2026 00:19:03
 O000088  ,C0275  ,SKU005, pending, 870.28 ,  Usd,2026-09-01 02:37:21
 o000463,  C0104  ,Sku020, shipped,503.73,NZD  ,01/09/2026 11:54:28
O000155, C0150, SKU015 ,DELIVERED , 749.09 ,  usd ,2026-09-01 03:36:54
 o000786,  C0024,sku010,  Delivered  ,269.02,  USD ,01/09/2026 05:15:17
 O000414,  c0117 , sku011 ,DELIVERED ,154.64,NZD,01/09/2026 03:17:33
 o000180 ,  C0184  ,SKU010, pending ,1328.18,USD  ,2026-09-01 05:18:07
O000949, C0099, sku017 , SHIPPED  ,$169.65,usd,2026-09-01 12:47:09
 O000723,  C0058, sku012  , pending , 233.02 ,usd  ,01/09/2026 15:51:14
  O000738  , c0105 ,  SKU001 ,  pending, 582.94 ,Nzd ,01/09/2026 03:32:05
 O000868,C0075,SKU013  ,Pending , 153.09 ,  Nzd  ,01/09/2026 12:12:26
 O000568, C0279,sku003 , delivered,$18.93,NZD ,2026-09-01 05:58:51
O000257 ,  C0228 ,  sku001  , DELIVERED, 169.57 ,nzd  ,2026-09-01 02:11:04
  O000003, c0260,sku001 , pending ,$869.61,  USD,2026-09-01 21:28:57
  O000805  ,C0093 ,  SKU013  , delivered ,245.51, Aud,01/09/2026 06:17:23
o000164  , C0071, Sku017  ,  Shipped ,$693.02,USD  ,01/09/2026 16:22:53
o000285 ,  c0189  , Sku018  ,  SHIPPED ,"$1,401.36",AUD ,01/09/2026 01:54:40
 o000295 , C0141 ,SKU018  ,  pending,1481.04, Nzd  ,2026-09-01 19:11:02
 O000116 ,  c0218  ,SKU007 , delivered ,$343.65,  Usd  ,01/09/2026 04:06:30
 o000503 ,  c0085  ,  sku016,  pending, 122.71 ,AUD ,01/09/2026 16:44:01
 o000318  ,C0273 , Sku002  ,pending  ,$459.81,  Usd  ,01/09/2026 19:43:01
  o000706 , C0242  , sku001 ,shipped,"$1,410.06",usd,2026-09-01 02:52:19
O000010,  c0118  , Sku016,  shipped  ,527.73,  NZD,2026-09-01 20:58:33
 o000321 ,C0041  ,SKU009  ,pending,$828.52,USD  ,01/09/2026 02:19:54
O000506,C0147  ,SKU008  ,Delivered  , 1207.38 ,USD,2026-09-01 12:14:14
O000725 ,C0093 ,  SKU004 ,PENDING ,$213.94,  Usd  ,2026-09-01 15:52:42
 O000582  , C0151 ,SKU015 ,delivered,$492.17,aud  ,2026-09-01 11:56:00
o000361 , C0042,  Sku006  , DELIVERED  , 1287.07 , Aud  ,2026-09-01 15:53:39
 O000268  ,c0293,Sku013 ,  delivered ,$842.68,  aud  ,2026-09-01 21:44:26
 O000124 ,c0012  , sku011 ,  Shipped,856.82, NZD ,2026-09-01 11:44:20
O000974 , C0139  ,  SKU011,Pending,1077.5,AUD,01/09/2026 14:22:15
  O000796, C0080, SKU005 ,pending,1016.24,  aud,01/09/2026 21:24:40
O000415,  C0260  , Sku018,  pending ,1135.89,Nzd ,2026-09-01 19:35:50
  O000222  ,C0092,SKU002 ,  delivered  , 1470.47 ,  AUD  ,01/09/2026 23:40:09
o000830,c0215 ,SKU002 , delivered ,1463.5,NZD  ,01/09/2026 04:43:33
O000461, c0029 ,Sku018  ,Delivered  ,$81.57,  Aud,01/09/2026 08:12:39
O000683  , c0063, SKU016  , DELIVERED  ,"$1,233.46", Usd ,2026-09-01 06:04:50
 O000019  ,C0245  , SKU018  , shipped  ,755.21,aud  ,2026-09-01 14:20:05
 O000870 , C0038, SKU020  ,Pending ,510.42,USD,01/09/2026 08:52:45
  O000458  , C0285, SKU006, shipped  ,667.88, Usd,2026-09-01 11:26:08
  O000501,C0168 ,  sku010  ,delivered,79.22,NZD  ,2026-09-01 18:49:23
 O000412  ,  C0216,  SKU013,shipped ,1117.23,Usd  ,01/09/2026 12:38:41
O000047,  C0198  ,SKU008, pending ,764.28,  Nzd,01/09/2026 03:37:35
o000398  ,  C0216  , Sku013,delivered,533.96,AUD  ,2026-09-01 11:17:09
 O000812  ,C0231 ,SKU015,Delivered ,"$1,382.62", aud  ,01/09/2026 02:55:36
  O000178  , C0287 , Sku002  , pending  , 1275.34 , NZD  ,2026-09-01 14:37:29
  O000849  ,  C0090 ,  sku014  ,delivered,1009.76,  AUD  ,01/09/2026 09:37:56
o000541,C0280  ,  SKU003,shipped  , 1140.93 ,USD  ,2026-09-01 16:46:50
 o000649,  C0176  ,  sku014 ,shipped ,"$1,426.11",NZD  ,2026-09-01 16:43:28
o000317,  c0233 ,Sku004 ,Delivered,749.86, AUD,01/09/2026 01:13:44
 O000272  ,C0283 ,  SKU013 , delivered ,295.75,AUD ,2026-09-01 17:05:48
  O000380 ,  C0066, sku005  , Pending  , 440.62 , USD  ,01/09/2026 13:59:21
O000739, c0018 ,sku001  , pending ,947.64,  aud ,01/09/2026 07:25:44
  O000294, c0248,  SKU004  , Pending,"$1,029.62",NZD ,2026-09-01 23:17:39
O000492 ,  C0125 ,Sku003 ,delivered , 1070.47 , nzd ,01/09/2026 00:47:47
o000594  ,C0240,  SKU017, shipped  , 1078.99 ,  NZD,01/09/2026 07:48:00
 o000580,  C0190 ,  Sku004 , shipped  , 1291.09 , aud,2026-09-01 18:22:03
  o000940,C0279  , Sku003,  delivered,$602.48,AUD ,2026-09-01 10:18:03
  o000515  , C0039  ,  SKU009  ,pending,"$1,222.19",  Usd  ,01/09/2026 19:53:56
 O000818,C0284  ,Sku018, pending  ,"$1,043.63",NZD,2026-09-01 07:34:42
 O000586 ,C0038  ,  SKU008  ,  DELIVERED,965.05, aud ,01/09/2026 04:12:49
O000061, c0260  , Sku018, PENDING,1151.25,  Nzd ,01/09/2026 04:08:40
  O000009  ,C0268 ,  SKU017  ,  Shipped ,$631.43,usd  ,2026-09-01 05:26:43
o000276, C0297 , SKU004, delivered,$690.31,  Aud,2026-09-01 21:41:45
  o000359 , c0225  , Sku020, shipped ,891.58,  nzd ,01/09/2026 15:50:12
 O000438  ,c0126 , SKU007, Pending  ,288.87,Usd,01/09/2026 07:05:06
 O000329 ,  C0261  ,sku003, Delivered, 1343.71 , Aud ,01/09/2026 21:36:38
 O000702  , C0127  ,  SKU010, pending  ,1131.32, Nzd,2026-09-01 10:38:13
 O000944 ,C0057  ,SKU013 ,shipped ,"$1,174.34",  Aud,2026-09-01 10:25:21
  O000821,C0217 ,SKU009,  PENDING  ,479.8, nzd,01/09/2026 18:31:15
  O000304 ,  C0198 ,  SKU004  ,Pending ,$627.09, NZD  ,2026-09-01 15:28:03
  O000838  ,C0086 , SKU019 , delivered,19.61,  AUD,01/09/2026 18:49:27
 o000898,C0281,  sku002  ,  shipped ,$987.82, AUD,2026-09-01 15:44:08
O000384 ,C0051  ,  SKU018 ,  delivered ,$480.33,  AUD ,2026-09-01 23:04:47
o000067  , C0197  ,SKU002  , delivered , 641.42 , Aud,01/09/2026 06:30:59
O000927,c0010,sku004  ,  SHIPPED, 638.35 , NZD ,2026-09-01 09:05:48
O000601, C0001, SKU007,  delivered ,"$1,001.42", usd ,01/09/2026 21:42:25
  O000015 ,c0100  ,  sku015  , Delivered  ,863.64,Nzd ,2026-09-01 09:30:23
O000602 , C0067  , SKU007, Pending,$391.26,  AUD  ,2026-09-01 02:43:43
O000540, C0038,SKU008  ,  pending,829.76,Usd ,2026-09-01 12:20:48
o000851 ,c0230  , Sku001  , Shipped ,1377.68,AUD ,2026-09-01 10:41:28
 o000176,C0293 ,Sku001  , pending,$340.77, USD,2026-09-01 15:25:50
O000536, c0141,Sku007  ,shipped  , 1234.00 , AUD  ,2026-09-01 08:31:39
 O000996,  C0046  ,sku002,  pending ,"$1,022.28",  NZD ,2026-09-01 07:43:19
 O000846  ,c0262 ,SKU003,  pending  ,$5.20, NZD,2026-09-01 16:20:20
O000488  ,  c0291 ,SKU002,pending,169.81,Aud  ,01/09/2026 22:43:56
  o000633  ,  C0075  , SKU007 ,DELIVERED  , 169.77 ,  aud  ,2026-09-01 07:02:48
